ARG,Argentina,Winner
AUS,Australia,Last 16
BEL,Belgium,Group Stages
BRA,Brasil,Quarter Finals
CAN,Canada,Group Stages
CMR,Cameroon,Group Stages
CRC,Costa Rica,Group Stages
CRO,Croatia,Third
DEN,Denmark,Group Stages
ECU,Ecuador,Group Stages
ENG,England,Quarter Finals
ESP,Spain,Last 16
FRA,France,Runner Up
GER,Germany,Group Stages
GHA,Ghana,Group Stages
IRN,Iran,Group Stages
JPN,Japan,Last 16
KOR,Korea Rep,Last 16
KSA,Saudi Arabia,Group Stages
MAR,Morocco,Fourth
MEX,Mexico,Group Stages
NED,Netherlands,Quarter Finals
POL,Poland,Last 16
POR,Portugal,Quarter Finals
QAT,Qatar,Group Stages
SEN,Senegal,Last 16
SRB,Serbia,Group Stages
SUI,Switzerland,Last 16
TUN,Tunisia,Group Stages
URU,Uruguay,Group Stages
USA,USA,Last 16
WAL,Wales,Group Stages
